symbol,name,current_mv
FKWL,Franklin Wireless Corp.,"75,984 USD"
ARL,"American Realty Investors, Inc.","75,925 USD"
DIT,AMCON Distributing Co.,"75,922 USD"
VHI,"Valhi, Inc.","75,918 USD"
 ,Etao International Co. Ltd.,"75,669 USD"
 ,,"75,597 USD"
BFLY,"Butterfly Network, Inc.","748,822 USD"
BAND,"Bandwidth, Inc.","748,693 USD"
UTMD,"Utah Medical Products, Inc.","747,184 USD"
BWMN,Bowman Consulting Group Ltd.,"746,917 USD"
INSE,"Inspired Entertainment, Inc.","746,474 USD"
HIFS,Hingham Institution for Savings (The),"745,704 USD"
REPX,"Riley Exploration Permian, Inc.","744,976 USD"
 ,Scilex Holding Co.,"742,228 USD"
DPSI,"DecisionPoint Systems, Inc.","74,910 USD"
CKPT,"Checkpoint Therapeutics, Inc.","74,693 USD"
FTEK,"Fuel Tech, Inc.","74,511 USD"
BDSX,"Biodesix, Inc.","74,312 USD"
ESQ,"Esquire Financial Holdings, Inc.","739,799 USD"
MPB,"Mid Penn Bancorp, Inc.","737,936 USD"
LEU,Centrus Energy Corp.,"736,996 USD"
SOHO,"Sotherly Hotels, Inc.","73,243 USD"
PET,Wag! Group Co.,"73,011 USD"
GAIA,"Gaia, Inc.","72,691 USD"
ICD,"Independence Contract Drilling, Inc.","72,307 USD"
TCBS,"Texas Community Bancshares, Inc.","72,269 USD"
ARIS,"Aris Water Solutions, Inc.","719,479 USD"
MOFG,"MidWestOne Financial Group, Inc.","719,058 USD"
PFIS,Peoples Financial Services Corp.,"718,506 USD"
SES,SES AI Corp.,"717,704 USD"
FMAO,"Farmers & Merchants Bancorp, Inc.","714,130 USD"
TXMD,"TherapeuticsMD, Inc.","71,729 USD"
GTIM,"Good Times Restaurants, Inc.","71,407 USD"
DAVE,"Dave, Inc.","71,358 USD"
CCLD,"CareCloud, Inc.","71,166 USD"
CRBP,"Corbus Pharmaceuticals Holdings, Inc.","71,101 USD"
SNDA,"Sonida Senior Living, Inc.","71,033 USD"
TPC,Tutor Perini Corp.,"707,786 USD"
ORIC,"ORIC Pharmaceuticals, Inc.","706,602 USD"
GCO,"Genesco, Inc.","705,176 USD"
VUZI,Vuzix Corp.,"703,504 USD"
NWPX,Northwest Pipe Co.,"701,870 USD"
AMNB,"American National Bankshares, Inc.","701,432 USD"
EOLS,"Evolus, Inc.","701,097 USD"
WTBA,"West BanCorp, Inc.","700,777 USD"
BV,"BrightView Holdings, Inc.","700,395 USD"
ESOA,Energy Services of America Corp.,"70,870 USD"
SANW,S&W Seed Co.,"70,665 USD"
MPU,Mega Matrix Corp.,"70,560 USD"
EIGR,"Eiger BioPharmaceuticals, Inc.","70,476 USD"
SGMA,"SigmaTron International, Inc.","7,902 USD"
OCX,Oncocyte Corp.,"7,156 USD"
AVTX,"Avalo Therapeutics, Inc.","7,011 USD"
